taxonID;acceptedNameUsageID;scientificName;taxonRank;nameAccordingToID;nameAccordingTo;kingdom;phylum;class;order
3299130;;Annellophoraceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3288754;;Antennulariaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3563842;;Anthostomataceae Schrantz;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3563814;;Aphyllophoraceae Pat.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3563801;;Apocarpi Luyk.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3277757;;Appendicisporaceae C. Walker, Vestberg & A. Schüssler;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3562437;;Arachniotaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3277793;;Archerussulaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3301326;;Ariellaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3296831;;Armillariaceae Roze;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3300859;;Arrheniaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3272625;;Arthoniomycetaceae E.A. Thomas;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3566160;;Arthriniaceae Nann.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3296794;;Arthrobotryaceae Corda;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3290928;;Arthroconidiaceae Vörös & Léránth;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3560108;;Articulariaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3307914;;Articulosporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3288205;;Arundinulaceae L. Léger & Duboscq;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3304996;;Asamsporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3288202;;Asbolisiaceae Speg. ex Bat. & Cif.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3563736;;Ascosporaceae Bonord.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3563715;;Ashbyaceae C.W. Dodge;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3303653;;Aspiciliaceae Kopach.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3555780;;Asterinothyriaceae Bat., C. Cif.{?} & H. Maia;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3296985;;Asterodontaceae Parmasto;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3567184;;Asteromellaceae Melnik;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3558249;;Asteromycetaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3301160;;Asterophoraceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3308526;;Asterosporaceae Moreau;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3299839;;Asterostromataceae Pouzar;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3302364;;Asterostromellaceae Pilát;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3297544;;Asterothyriomycetaceae Cif. & Tomas.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3301172;;Asterotremellaceae Prillinger, Lopandic & Sugita;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3558085;;Astrocystidaceae Hara;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3556009;;Astronateliaceae Bat. & H. Maia;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3274026;;Astrotheliaceae Zahlbr.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3304988;;Asybopiosporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3563614;;Asybosporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3563588;;Asyzoamsporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3305921;;Atelogymnoasceae Grigoraki;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3295726;;Atelosaccharomycetaceae Guillierm.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3302412;;Atkinsiellaceae Sparrow;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3309274;;Atractiellaceae R.T. Moore;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3307560;;Aureobasidiaceae Cif.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3298096;;Aureoboletaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3297854;;Auriculariopsidaceae Jülich;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3566225;;Austrogastraceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3559043;;Auxarthraceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3280854;;Aërogastri Nees;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3563579;;Baammopomopiosporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3556458;;Bacillisporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3559168;;Backusiaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3563360;;Bactridiaceae Corda;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3554508;;Bactrosporaceae Rabenh.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3566217;;Badhamiaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3286337;;Bagliettoaceae Servít;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3556527;;Balsamiaceae E. Fisch.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3561320;;Basidiophoraceae Bonord.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3308040;;Basipetosporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3296479;;Battarreaceae Corda;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3306431;;Beauveriaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3561106;;Beltraniaceae Nann.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
3289610;;Biboumusporaceae Locq.;family;bf3db7c9-5e5d-4fd0-bd5b-94539eaf9598;Index Fungorum;Fungi;;;
